caller,caller_module,callee,callee_module,call_count,lines
CF_ModeReference.CF_BuildReferencePlan,CF_ModeReference,CompareFramework_Report.PrepareSheet,CompareFramework_Report,1,278
CF_ModeReference.CF_OpenReferenceLauncher,CF_ModeReference,CompareFramework_Report.PrepareSheet,CompareFramework_Report,1,538
CF_ModeReference.CF_ReferenceBuildSummary,CF_ModeReference,CompareFramework_Report.PrepareSheet,CompareFramework_Report,1,429
CF_ModeReference.CF_ReferenceBuildSummary,CF_ModeReference,CompareFramework_Utils.LastUsedRow,CompareFramework_Utils,1,440
CF_ModeReference.CF_ReferenceIsTargetSheet,CF_ModeReference,CompareFramework_Utils.IsReportOrStatsSheet,CompareFramework_Utils,1,315
CF_ModeReference.CF_ReferencePlanSetStatus,CF_ModeReference,CompareFramework_Utils.LastUsedRow,CompareFramework_Utils,1,372
CF_ModeReference.CF_ReferenceSheetHasKey,CF_ModeReference,CompareFramework_EngineMemory.CF_MemoryHeaders,CompareFramework_EngineMemory,1,351
CF_ModeReference.CF_ReferenceSheetHasKey,CF_ModeReference,CompareFramework_EngineMemory.CF_ReadUsedData,CompareFramework_EngineMemory,1,350
CF_ModeReference.CF_ReferenceSheetHasKey,CF_ModeReference,CompareFramework_Index.HeaderIndex,CompareFramework_Index,1,352
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Audit.CF_AuditFail,CompareFramework_Audit,1,258
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Audit.CF_AuditSet,CompareFramework_Audit,4,234;235;236;237
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_ComparatorConfig.CF_LoadComparatorConfig,CompareFramework_ComparatorConfig,1,97
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Config.LoadCompareConfig,CompareFramework_Config,1,95
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Config.NormalizeList,CompareFramework_Config,1,100
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Context.CF_ContextSet,CompareFramework_Context,4,230;231;232;233
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_EngineMemory.CF_CompareSheetPairMemory,CompareFramework_EngineMemory,1,132
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Report.BuildActionPlan,CompareFramework_Report,1,209
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Report.FormatActionPlan,CompareFramework_Report,1,224
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Report.FormatAuditLog,CompareFramework_Report,1,225
CF_ModeReference.CF_RunAgainstReference,CF_ModeReference,CompareFramework_Report.FormatDashboard,CompareFramework_Report,1,223
