module,CompareFramework_API,CompareFramework_Audit,CompareFramework_ComparatorConfig,CompareFramework_Comparators,CompareFramework_Config,CompareFramework_Context,CompareFramework_EngineMemory,CompareFramework_Index,CompareFramework_Main,CompareFramework_Performance,CompareFramework_Profiles,CompareFramework_Quality,CompareFramework_Reliability,CompareFramework_Report,CompareFramework_Rules,CompareFramework_Scenarios,CompareFramework_Tests,CompareFramework_Utils,CompareFramework_Validation,CF_ModeReference
CompareFramework_API,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
CompareFramework_Audit,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CompareFramework_ComparatorConfig,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0
CompareFramework_Comparators,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CompareFramework_Config,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0
CompareFramework_Context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CompareFramework_EngineMemory,0,4,1,1,8,7,0,5,0,0,0,0,0,24,3,0,1,13,0,0
CompareFramework_Index,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0
CompareFramework_Main,0,52,2,1,3,40,4,10,0,13,0,2,1,22,2,2,0,13,2,0
CompareFramework_Performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
CompareFramework_Profiles,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,30,0,0
CompareFramework_Quality,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0
CompareFramework_Reliability,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CompareFramework_Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0
CompareFramework_Rules,0,0,0,0,12,0,0,3,0,0,0,0,0,3,0,0,0,25,0,0
CompareFramework_Scenarios,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CompareFramework_Tests,0,5,0,1,0,9,1,0,0,5,1,0,0,0,0,0,0,2,1,0
CompareFramework_Utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CompareFramework_Validation,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CF_ModeReference,0,5,1,0,2,4,3,1,0,0,0,0,0,21,1,0,0,3,0,0
