module,outgoing_modules,incoming_modules,outgoing_edges,incoming_edges,outgoing_call_sites,incoming_call_sites,instability,coupling_score
CompareFramework_Main,15,5,108,8,169,8,0.750000,20
CompareFramework_EngineMemory,10,4,45,9,67,9,0.714286,14
CompareFramework_Utils,0,12,0,84,0,326,0.000000,12
CF_ModeReference,9,1,30,1,41,1,0.900000,10
CompareFramework_Tests,8,2,22,6,25,6,0.800000,10
CompareFramework_ComparatorConfig,2,6,6,7,11,7,0.250000,8
CompareFramework_Config,2,6,8,22,57,31,0.250000,8
CompareFramework_Context,0,8,0,48,0,92,0.000000,8
CompareFramework_Rules,4,4,21,7,43,7,0.500000,8
CompareFramework_Report,1,6,20,52,164,72,0.142857,7
CompareFramework_API,6,0,6,0,6,0,1.000000,6
CompareFramework_Audit,2,4,5,41,12,66,0.333333,6
CompareFramework_Comparators,2,4,2,4,3,4,0.333333,6
CompareFramework_Index,2,4,5,11,7,19,0.333333,6
CompareFramework_Quality,4,2,8,3,8,3,0.666667,6
CompareFramework_Profiles,4,1,20,1,43,1,0.800000,5
CompareFramework_Validation,2,3,6,4,12,4,0.400000,5
CompareFramework_Reliability,2,2,2,2,2,2,0.500000,4
CompareFramework_Performance,1,2,4,9,5,18,0.333333,3
CompareFramework_Scenarios,1,1,3,2,3,2,0.500000,2
