name,path,line_count,option_explicit,procedure_count,public_procedure_count,private_procedure_count,constant_count,variable_count,type_count,enum_count,parse_warning_count
CompareFramework_API,CompareFramework_API.bas,41,True,6,6,0,0,0,0,0,0
CompareFramework_Audit,CompareFramework_Audit.bas,313,True,17,6,11,0,11,0,0,0
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,214,True,12,4,8,1,7,0,0,0
CompareFramework_Comparators,CompareFramework_Comparators.bas,244,True,19,2,17,7,0,0,0,0
CompareFramework_Config,CompareFramework_Config.bas,220,True,13,9,4,0,0,0,0,0
CompareFramework_Context,CompareFramework_Context.bas,177,True,11,7,4,0,4,0,0,0
CompareFramework_EngineMemory,CompareFramework_EngineMemory.bas,372,True,12,5,7,0,0,0,0,0
CompareFramework_Index,CompareFramework_Index.bas,133,True,6,6,0,0,0,0,0,0
CompareFramework_Main,CompareFramework_Main.bas,466,True,19,8,11,0,0,0,0,0
CompareFramework_Performance,CompareFramework_Performance.bas,189,True,10,6,4,0,10,0,0,0
CompareFramework_Profiles,CompareFramework_Profiles.bas,202,True,11,4,7,1,0,0,0,0
CompareFramework_Quality,CompareFramework_Quality.bas,347,True,14,2,12,0,0,0,0,0
CompareFramework_Reliability,CompareFramework_Reliability.bas,260,True,9,3,6,0,0,0,0,0
CompareFramework_Report,CompareFramework_Report.bas,616,True,26,15,11,0,0,0,0,0
CompareFramework_Rules,CompareFramework_Rules.bas,185,True,9,4,5,0,0,0,0,0
CompareFramework_Scenarios,CompareFramework_Scenarios.bas,343,True,17,2,15,0,0,0,0,0
CompareFramework_Tests,CompareFramework_Tests.bas,485,True,26,8,18,3,0,0,0,0
CompareFramework_Utils,CompareFramework_Utils.bas,251,True,19,18,1,27,13,0,0,0
CompareFramework_Validation,CompareFramework_Validation.bas,260,True,15,2,13,0,4,0,0,0
CF_ModeReference,Modes/CF_ModeReference.bas,670,True,14,5,9,2,2,0,0,0
