module,module_path,name,kind,visibility,line,end_line,return_type,parameter_count,signature
CompareFramework_API,CompareFramework_API.bas,CF_StartReferenceComparison,Sub,Public,14,16,,0,Public Sub CF_StartReferenceComparison ()
CompareFramework_API,CompareFramework_API.bas,CF_RunStandardComparison,Sub,Public,19,21,,0,Public Sub CF_RunStandardComparison ()
CompareFramework_API,CompareFramework_API.bas,CF_ExportLastReportHTML,Sub,Public,24,26,,0,Public Sub CF_ExportLastReportHTML ()
CompareFramework_API,CompareFramework_API.bas,CF_OpenSettings,Sub,Public,29,31,,0,Public Sub CF_OpenSettings ()
CompareFramework_API,CompareFramework_API.bas,CF_RunDiagnostics,Sub,Public,34,36,,0,Public Sub CF_RunDiagnostics ()
CompareFramework_API,CompareFramework_API.bas,CF_RunReleaseValidation,Sub,Public,39,41,,0,Public Sub CF_RunReleaseValidation ()
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditBegin,Sub,Public,29,56,,1,Public Sub CF_AuditBegin (Optional sRunName As Variant)
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditSet,Sub,Public,58,85,,2,"Public Sub CF_AuditSet (sMetricName As String, vValue As Variant)"
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditFail,Sub,Public,87,95,,2,"Public Sub CF_AuditFail (vErrorNumber As Variant, sErrorMessage As String)"
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditEnd,Sub,Public,97,121,,1,Public Sub CF_AuditEnd (Optional sStatus As Variant)
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditWriteCurrentRun,Sub,Private,123,152,,0,Private Sub CF_AuditWriteCurrentRun ()
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditClearHistory,Sub,Public,154,170,,0,Public Sub CF_AuditClearHistory ()
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetRunId,Function,Public,172,174,String,0,Public Function CF_AuditGetRunId () As String
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditDurationSeconds,Function,Public,176,191,Double,0,Public Function CF_AuditDurationSeconds () As Double
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditEnsureSheet,Sub,Private,193,215,,1,Private Sub CF_AuditEnsureSheet (oDoc As Object)
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditNextRow,Function,Private,217,227,Long,1,Private Function CF_AuditNextRow (oSheet As Object) As Long
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditCreateRunId,Function,Private,229,234,String,0,Private Function CF_AuditCreateRunId () As String
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetProfileName,Function,Private,236,247,String,0,Private Function CF_AuditGetProfileName () As String
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetDocumentName,Function,Private,249,261,String,0,Private Function CF_AuditGetDocumentName () As String
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditSerializeMetrics,Function,Private,263,274,String,0,Private Function CF_AuditSerializeMetrics () As String
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditMetricIndexOf,Function,Private,276,290,Long,1,Private Function CF_AuditMetricIndexOf (sMetricName As String) As Long
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditWriteCell,Sub,Private,292,294,,4,"Private Sub CF_AuditWriteCell (oSheet As Object, col As Long, row As Long, value As Variant)"
CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditFormatSheet,Sub,Private,296,313,,1,Private Sub CF_AuditFormatSheet (oSheet As Object)
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_EnsureComparatorsSheet,Function,Private,18,30,Object,1,Private Function CF_EnsureComparatorsSheet (oDoc As Object) As Object
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_WriteDefaultComparatorConfig,Sub,Private,32,54,,1,Private Sub CF_WriteDefaultComparatorConfig (oSheet As Object)
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_LoadComparatorConfig,Sub,Public,56,94,,1,Public Sub CF_LoadComparatorConfig (oDoc As Object)
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_ResolveComparatorConfig,Function,Public,96,121,Boolean,5,"Public Function CF_ResolveComparatorConfig (headerName As String, ByRef comparatorType As String, ByRef tolerance As Double, ByRef hasTolerance As Boolean, ByRef source As String) As Boolean"
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_ReloadComparatorConfig,Sub,Public,123,127,,0,Public Sub CF_ReloadComparatorConfig ()
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_OpenComparatorConfig,Sub,Public,129,133,,0,Public Sub CF_OpenComparatorConfig ()
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_RunComparatorConfigTests,Sub,Public,135,168,,0,Public Sub CF_RunComparatorConfigTests ()
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_FindRule,Function,Private,170,181,Long,2,"Private Function CF_CC_FindRule (profileName As String, columnName As String) As Long"
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_ToBoolean,Function,Private,183,187,Boolean,1,Private Function CF_CC_ToBoolean (v As String) As Boolean
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_TryParseDouble,Function,Private,189,201,Boolean,2,"Private Function CF_CC_TryParseDouble (v As String, ByRef result As Double) As Boolean"
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_WriteRow,Sub,Private,203,210,,8,"Private Sub CF_CC_WriteRow (oSheet As Object, rowIndex As Long, enabled As String, profileName As String, columnName As String, comparatorType As String, tolerance As String, comment As String)"
CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_SetCell,Sub,Private,212,214,,4,"Private Sub CF_CC_SetCell (oSheet As Object, col As Long, row As Long, value As Variant)"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_TypedValuesEqual,Function,Public,16,56,Boolean,5,"Public Function CF_TypedValuesEqual (oldRaw As Variant, newRaw As Variant, headerName As String, ByRef comparatorUsed As String, ByRef detail As String) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_ComparatorTypeForHeader,Function,Private,58,79,String,3,"Private Function CF_ComparatorTypeForHeader (headerName As String, oldRaw As Variant, newRaw As Variant) As String"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_TextEqual,Function,Private,81,87,Boolean,3,"Private Function CF_TextEqual (a As Variant, b As Variant, ByRef detail As String) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_NumberEqual,Function,Private,89,99,Boolean,4,"Private Function CF_NumberEqual (a As Variant, b As Variant, tolerance As Double, ByRef detail As String) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_DateEqual,Function,Private,101,111,Boolean,4,"Private Function CF_DateEqual (a As Variant, b As Variant, toleranceDays As Double, ByRef detail As String) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_BooleanEqual,Function,Private,113,119,Boolean,3,"Private Function CF_BooleanEqual (a As Variant, b As Variant, ByRef detail As String) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_LooksNumeric,Function,Private,121,124,Boolean,1,Private Function CF_LooksNumeric (v As Variant) As Boolean
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_LooksDate,Function,Private,126,132,Boolean,1,Private Function CF_LooksDate (v As Variant) As Boolean
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_LooksBoolean,Function,Private,134,136,Boolean,1,Private Function CF_LooksBoolean (v As Variant) As Boolean
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_TryParseNumber,Function,Private,138,166,Boolean,2,"Private Function CF_TryParseNumber (v As Variant, ByRef result As Double) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_TryParseDateSerial,Function,Private,168,182,Boolean,2,"Private Function CF_TryParseDateSerial (v As Variant, ByRef result As Double) As Boolean"
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_BooleanCode,Function,Private,184,195,Integer,1,Private Function CF_BooleanCode (v As Variant) As Integer
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_PercentToNumber,Function,Private,197,206,Variant,1,Private Function CF_PercentToNumber (v As Variant) As Variant
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_CurrencyToNumber,Function,Private,208,211,Variant,1,Private Function CF_CurrencyToNumber (v As Variant) As Variant
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_GetNumericTolerance,Function,Private,213,215,Double,0,Private Function CF_GetNumericTolerance () As Double
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_GetPercentTolerance,Function,Private,217,219,Double,0,Private Function CF_GetPercentTolerance () As Double
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_GetCurrencyTolerance,Function,Private,221,223,Double,0,Private Function CF_GetCurrencyTolerance () As Double
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_GetDateToleranceDays,Function,Private,225,227,Double,0,Private Function CF_GetDateToleranceDays () As Double
CompareFramework_Comparators,CompareFramework_Comparators.bas,CF_RunTypedComparatorTests,Sub,Public,229,244,,0,Public Sub CF_RunTypedComparatorTests ()
CompareFramework_Config,CompareFramework_Config.bas,LoadCompareConfig,Sub,Public,5,38,,1,Public Sub LoadCompareConfig (oDoc As Object)
CompareFramework_Config,CompareFramework_Config.bas,EnsureConfigSheet,Function,Public,40,53,Object,1,Public Function EnsureConfigSheet (oDoc As Object) As Object
CompareFramework_Config,CompareFramework_Config.bas,WriteDefaultConfig,Sub,Public,55,85,,1,Public Sub WriteDefaultConfig (oSheet As Object)
CompareFramework_Config,CompareFramework_Config.bas,EnsureRulesSheet,Function,Public,88,101,Object,1,Public Function EnsureRulesSheet (oDoc As Object) As Object
CompareFramework_Config,CompareFramework_Config.bas,WriteDefaultRulesSheet,Sub,Public,103,146,,1,Public Sub WriteDefaultRulesSheet (oSheet As Object)
CompareFramework_Config,CompareFramework_Config.bas,NormalizeCompareValue,Function,Public,148,161,String,1,Public Function NormalizeCompareValue (valueText As String) As String
CompareFramework_Config,CompareFramework_Config.bas,NormalizeSpaces,Function,Public,163,170,String,1,Public Function NormalizeSpaces (valueText As String) As String
CompareFramework_Config,CompareFramework_Config.bas,IgnoreThisEmptyChange,Function,Public,172,178,Boolean,2,"Public Function IgnoreThisEmptyChange (oldCompare As String, newCompare As String) As Boolean"
CompareFramework_Config,CompareFramework_Config.bas,ColumnIsIgnored,Function,Public,180,182,Boolean,1,Public Function ColumnIsIgnored (headerName As String) As Boolean
CompareFramework_Config,CompareFramework_Config.bas,TokenInList,Function,Public,184,189,Boolean,2,"Public Function TokenInList (token As String, listText As String) As Boolean"
CompareFramework_Config,CompareFramework_Config.bas,NormalizeList,Function,Public,191,201,String,1,Public Function NormalizeList (listText As String) As String
CompareFramework_Config,CompareFramework_Config.bas,ToBoolean,Function,Public,203,207,Boolean,1,Public Function ToBoolean (valueText As String) As Boolean
CompareFramework_Config,CompareFramework_Config.bas,FindIdColumn,Function,Public,209,219,Long,1,Public Function FindIdColumn (headers As Variant) As Long
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextReset,Sub,Public,23,32,,0,Public Sub CF_ContextReset ()
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextInitIfNeeded,Sub,Private,34,38,,0,Private Sub CF_ContextInitIfNeeded ()
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextSet,Sub,Public,40,64,,2,"Public Sub CF_ContextSet (sKey As String, vValue As Variant)"
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextGet,Function,Public,66,79,String,2,"Public Function CF_ContextGet (sKey As String, Optional sDefault As Variant) As String"
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextHas,Function,Public,81,84,Boolean,1,Public Function CF_ContextHas (sKey As String) As Boolean
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextCount,Function,Public,86,89,Long,0,Public Function CF_ContextCount () As Long
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextDumpToSheet,Sub,Public,91,123,,0,Public Sub CF_ContextDumpToSheet ()
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextBeginRun,Sub,Public,125,138,,1,Public Sub CF_ContextBeginRun (Optional sRunName As Variant)
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextEndRun,Sub,Public,140,151,,1,Public Sub CF_ContextEndRun (Optional sStatus As Variant)
CompareFramework_Context,CompareFramework_Context.bas,CF_ContextIndexOf,Function,Private,153,171,Long,1,Private Function CF_ContextIndexOf (sKey As String) As Long
CompareFramework_Context,CompareFramework_Context.bas,CF_DeleteSheetIfExists_Context,Sub,Private,173,177,,2,"Private Sub CF_DeleteSheetIfExists_Context (oDoc As Object, sName As String)"
