qualified_name,module,module_path,name,kind,visibility,line,end_line,parent,type_name,signature,value
CompareFramework_API.CF_StartReferenceComparison,CompareFramework_API,CompareFramework_API.bas,CF_StartReferenceComparison,procedure,Public,14,16,,,Public Sub CF_StartReferenceComparison (),
CompareFramework_API.CF_RunStandardComparison,CompareFramework_API,CompareFramework_API.bas,CF_RunStandardComparison,procedure,Public,19,21,,,Public Sub CF_RunStandardComparison (),
CompareFramework_API.CF_ExportLastReportHTML,CompareFramework_API,CompareFramework_API.bas,CF_ExportLastReportHTML,procedure,Public,24,26,,,Public Sub CF_ExportLastReportHTML (),
CompareFramework_API.CF_OpenSettings,CompareFramework_API,CompareFramework_API.bas,CF_OpenSettings,procedure,Public,29,31,,,Public Sub CF_OpenSettings (),
CompareFramework_API.CF_RunDiagnostics,CompareFramework_API,CompareFramework_API.bas,CF_RunDiagnostics,procedure,Public,34,36,,,Public Sub CF_RunDiagnostics (),
CompareFramework_API.CF_RunReleaseValidation,CompareFramework_API,CompareFramework_API.bas,CF_RunReleaseValidation,procedure,Public,39,41,,,Public Sub CF_RunReleaseValidation (),
CompareFramework_Audit.CF_AUDIT_RUN_ID,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_RUN_ID,variable,Private,17,,,String,,
CompareFramework_Audit.CF_AUDIT_RUN_NAME,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_RUN_NAME,variable,Private,18,,,String,,
CompareFramework_Audit.CF_AUDIT_STARTED_AT,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_STARTED_AT,variable,Private,19,,,Date,,
CompareFramework_Audit.CF_AUDIT_ENDED_AT,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_ENDED_AT,variable,Private,20,,,Date,,
CompareFramework_Audit.CF_AUDIT_STATUS,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_STATUS,variable,Private,21,,,String,,
CompareFramework_Audit.CF_AUDIT_ERROR_NUMBER,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_ERROR_NUMBER,variable,Private,22,,,String,,
CompareFramework_Audit.CF_AUDIT_ERROR_MESSAGE,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_ERROR_MESSAGE,variable,Private,23,,,String,,
CompareFramework_Audit.CF_AUDIT_METRIC_KEYS,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_METRIC_KEYS,variable,Private,24,,,String,,
CompareFramework_Audit.CF_AUDIT_METRIC_VALUES,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_METRIC_VALUES,variable,Private,25,,,String,,
CompareFramework_Audit.CF_AUDIT_METRIC_COUNT,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_METRIC_COUNT,variable,Private,26,,,Long,,
CompareFramework_Audit.CF_AUDIT_ACTIVE,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AUDIT_ACTIVE,variable,Private,27,,,Boolean,,
CompareFramework_Audit.CF_AuditBegin.sRunName,CompareFramework_Audit,CompareFramework_Audit.bas,sRunName,parameter,Local,29,56,CF_AuditBegin,Variant,,
CompareFramework_Audit.CF_AuditBegin,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditBegin,procedure,Public,29,56,,,Public Sub CF_AuditBegin (Optional sRunName As Variant),
CompareFramework_Audit.CF_AuditSet.sMetricName,CompareFramework_Audit,CompareFramework_Audit.bas,sMetricName,parameter,Local,58,85,CF_AuditSet,String,,
CompareFramework_Audit.CF_AuditSet.vValue,CompareFramework_Audit,CompareFramework_Audit.bas,vValue,parameter,Local,58,85,CF_AuditSet,Variant,,
CompareFramework_Audit.CF_AuditSet,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditSet,procedure,Public,58,85,,,"Public Sub CF_AuditSet (sMetricName As String, vValue As Variant)",
CompareFramework_Audit.CF_AuditFail.sErrorMessage,CompareFramework_Audit,CompareFramework_Audit.bas,sErrorMessage,parameter,Local,87,95,CF_AuditFail,String,,
CompareFramework_Audit.CF_AuditFail.vErrorNumber,CompareFramework_Audit,CompareFramework_Audit.bas,vErrorNumber,parameter,Local,87,95,CF_AuditFail,Variant,,
CompareFramework_Audit.CF_AuditFail,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditFail,procedure,Public,87,95,,,"Public Sub CF_AuditFail (vErrorNumber As Variant, sErrorMessage As String)",
CompareFramework_Audit.CF_AuditEnd.sStatus,CompareFramework_Audit,CompareFramework_Audit.bas,sStatus,parameter,Local,97,121,CF_AuditEnd,Variant,,
CompareFramework_Audit.CF_AuditEnd,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditEnd,procedure,Public,97,121,,,Public Sub CF_AuditEnd (Optional sStatus As Variant),
CompareFramework_Audit.CF_AuditWriteCurrentRun,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditWriteCurrentRun,procedure,Public,123,152,,,Public Sub CF_AuditWriteCurrentRun (),
CompareFramework_Audit.CF_AuditClearHistory,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditClearHistory,procedure,Public,154,170,,,Public Sub CF_AuditClearHistory (),
CompareFramework_Audit.CF_AuditGetRunId,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetRunId,procedure,Public,172,174,,String,Public Function CF_AuditGetRunId () As String,
CompareFramework_Audit.CF_AuditDurationSeconds,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditDurationSeconds,procedure,Public,176,191,,Double,Public Function CF_AuditDurationSeconds () As Double,
CompareFramework_Audit.CF_AuditEnsureSheet.oDoc,CompareFramework_Audit,CompareFramework_Audit.bas,oDoc,parameter,Local,193,215,CF_AuditEnsureSheet,Object,,
CompareFramework_Audit.CF_AuditEnsureSheet,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditEnsureSheet,procedure,Private,193,215,,,Private Sub CF_AuditEnsureSheet (oDoc As Object),
CompareFramework_Audit.CF_AuditNextRow.oSheet,CompareFramework_Audit,CompareFramework_Audit.bas,oSheet,parameter,Local,217,227,CF_AuditNextRow,Object,,
CompareFramework_Audit.CF_AuditNextRow,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditNextRow,procedure,Private,217,227,,Long,Private Function CF_AuditNextRow (oSheet As Object) As Long,
CompareFramework_Audit.CF_AuditCreateRunId,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditCreateRunId,procedure,Private,229,234,,String,Private Function CF_AuditCreateRunId () As String,
CompareFramework_Audit.CF_AuditGetProfileName,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetProfileName,procedure,Private,236,247,,String,Private Function CF_AuditGetProfileName () As String,
CompareFramework_Audit.CF_AuditGetDocumentName,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditGetDocumentName,procedure,Private,249,261,,String,Private Function CF_AuditGetDocumentName () As String,
CompareFramework_Audit.CF_AuditSerializeMetrics,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditSerializeMetrics,procedure,Private,263,274,,String,Private Function CF_AuditSerializeMetrics () As String,
CompareFramework_Audit.CF_AuditMetricIndexOf.sMetricName,CompareFramework_Audit,CompareFramework_Audit.bas,sMetricName,parameter,Local,276,290,CF_AuditMetricIndexOf,String,,
CompareFramework_Audit.CF_AuditMetricIndexOf,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditMetricIndexOf,procedure,Private,276,290,,Long,Private Function CF_AuditMetricIndexOf (sMetricName As String) As Long,
CompareFramework_Audit.CF_AuditWriteCell.col,CompareFramework_Audit,CompareFramework_Audit.bas,col,parameter,Local,292,294,CF_AuditWriteCell,Long,,
CompareFramework_Audit.CF_AuditWriteCell.oSheet,CompareFramework_Audit,CompareFramework_Audit.bas,oSheet,parameter,Local,292,294,CF_AuditWriteCell,Object,,
CompareFramework_Audit.CF_AuditWriteCell.row,CompareFramework_Audit,CompareFramework_Audit.bas,row,parameter,Local,292,294,CF_AuditWriteCell,Long,,
CompareFramework_Audit.CF_AuditWriteCell.value,CompareFramework_Audit,CompareFramework_Audit.bas,value,parameter,Local,292,294,CF_AuditWriteCell,Variant,,
CompareFramework_Audit.CF_AuditWriteCell,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditWriteCell,procedure,Private,292,294,,,"Private Sub CF_AuditWriteCell (oSheet As Object, col As Long, row As Long, value As Variant)",
CompareFramework_Audit.CF_AuditFormatSheet.oSheet,CompareFramework_Audit,CompareFramework_Audit.bas,oSheet,parameter,Local,296,313,CF_AuditFormatSheet,Object,,
CompareFramework_Audit.CF_AuditFormatSheet,CompareFramework_Audit,CompareFramework_Audit.bas,CF_AuditFormatSheet,procedure,Private,296,313,,,Private Sub CF_AuditFormatSheet (oSheet As Object),
CompareFramework_ComparatorConfig.CF_COMPARATORS_SHEET,CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_COMPARATORS_SHEET,constant,Public,8,,,String,,"""Compare_Comparators"""
CompareFramework_ComparatorConfig.CF_CC_ENABLED,CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_ENABLED,variable,Private,10,,,Boolean,,
CompareFramework_ComparatorConfig.CF_CC_PROFILE,CompareFramework_ComparatorConfig,CompareFramework_ComparatorConfig.bas,CF_CC_PROFILE,variable,Private,11,,,String,,
