module,line,name,kind,signature,category,recommended_action,incoming_modules
CompareFramework_Audit.bas,28,CF_AuditBegin,Sub,(Optional sRunName As Variant),Internal cross-module,Keep Public (Basic constraint),"CompareFramework_Main, CompareFramework_Tests"
CompareFramework_Audit.bas,57,CF_AuditSet,Sub,"(sMetricName As String, vValue As Variant)",Internal cross-module,Keep Public (Basic constraint),"CF_ModeReference, CompareFramework_EngineMemory, CompareFramework_Main, CompareFramework_Tests"
CompareFramework_Audit.bas,86,CF_AuditFail,Sub,"(vErrorNumber As Variant, sErrorMessage As String)",Internal cross-module,Keep Public (Basic constraint),"CF_ModeReference, CompareFramework_EngineMemory, CompareFramework_Main"
CompareFramework_Audit.bas,96,CF_AuditEnd,Sub,(Optional sStatus As Variant),Internal cross-module,Keep Public (Basic constraint),"CompareFramework_Main, CompareFramework_Tests"
CompareFramework_Audit.bas,122,CF_AuditWriteCurrentRun,Sub,(),Module-internal candidate,Review -> Private,
CompareFramework_Audit.bas,153,CF_AuditClearHistory,Sub,(),Module-internal candidate,Review -> Private,
CompareFramework_Audit.bas,171,CF_AuditGetRunId,Function,(),Internal cross-module,Keep Public (Basic constraint),CompareFramework_Tests
CompareFramework_Audit.bas,175,CF_AuditDurationSeconds,Function,(),Internal cross-module,Keep Public (Basic constraint),CompareFramework_Tests
CompareFramework_ComparatorConfig.bas,17,CF_EnsureComparatorsSheet,Function,(oDoc As Object),Module-internal candidate,Review -> Private,
CompareFramework_ComparatorConfig.bas,31,CF_WriteDefaultComparatorConfig,Sub,(oSheet As Object),Module-internal candidate,Review -> Private,
CompareFramework_ComparatorConfig.bas,55,CF_LoadComparatorConfig,Sub,(oDoc As Object),Internal cross-module,Keep Public (Basic constraint),"CF_ModeReference, CompareFramework_EngineMemory, CompareFramework_Main"
CompareFramework_ComparatorConfig.bas,95,CF_ResolveComparatorConfig,Function,"(headerName As String, ByRef comparatorType As String, ByRef tolerance As Double, ByRef hasTolerance As Boolean, ByRef source As String)",Internal cross-module,Keep Public (Basic constraint),CompareFramework_Comparators
CompareFramework_ComparatorConfig.bas,122,CF_ReloadComparatorConfig,Sub,(),Module-internal candidate,Review -> Private,
CompareFramework_ComparatorConfig.bas,128,CF_OpenComparatorConfig,Sub,(),Stable user API,Keep Public,
CompareFramework_ComparatorConfig.bas,134,CF_RunComparatorConfigTests,Sub,(),Internal cross-module,Keep Public (Basic constraint),"CompareFramework_Main, CompareFramework_Reliability"
CompareFramework_Comparators.bas,15,CF_TypedValuesEqual,Function,"(oldRaw As Variant, newRaw As Variant, headerName As String, ByRef comparatorUsed As String, ByRef detail As String)",Internal cross-module,Keep Public (Basic constraint),CompareFramework_EngineMemory
